[2022-07-12 13:51:43,662] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-12] [akka://Fog/user/weather-station-41] - Successfully registered data: DataRecorded{wsid='41'} from event time: 1657605102649
[2022-07-12 13:51:43,668] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-12] [akka://Fog/user/weather-station-45] - Successfully registered data: DataRecorded{wsid='45'} from event time: 1657605102649
[2022-07-12 13:51:46,441] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-9] [akka://Fog/user/weather-station-12] - Successfully registered data: DataRecorded{wsid='12'} from event time: 1657605106433
[2022-07-12 13:51:46,442] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-9] [akka://Fog/user/weather-station-4] - Successfully registered data: DataRecorded{wsid='4'} from event time: 1657605106433
[2022-07-12 13:51:46,442] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-17] [akka://Fog/user/weather-station-8] - Successfully registered data: DataRecorded{wsid='8'} from event time: 1657605106433
[2022-07-12 13:51:46,443] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-9] [akka://Fog/user/weather-station-14] - Successfully registered data: DataRecorded{wsid='14'} from event time: 1657605106433
[2022-07-12 13:51:46,449] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-13] [akka://Fog/user/weather-station-6] - Successfully registered data: DataRecorded{wsid='6'} from event time: 1657605106433
[2022-07-12 13:51:46,454] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-13] [akka://Fog/user/weather-station-10] - Successfully registered data: DataRecorded{wsid='10'} from event time: 1657605106446
[2022-07-12 13:51:46,454] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-13] [akka://Fog/user/weather-station-34] - Successfully registered data: DataRecorded{wsid='34'} from event time: 1657605106446
[2022-07-12 13:51:46,455] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-17] [akka://Fog/user/weather-station-2] - Successfully registered data: DataRecorded{wsid='2'} from event time: 1657605106446
[2022-07-12 13:51:46,456] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-17] [akka://Fog/user/weather-station-16] - Successfully registered data: DataRecorded{wsid='16'} from event time: 1657605106446
[2022-07-12 13:51:46,469] [INFO] [akka.actor.ActorCell] [Fog-akka.actor.default-dispatcher-10] [akka://Fog/user/weather-station-5] - Successfully registered data: DataRecorded{wsid='5'} from event time: 1657605106462
